Date,Open,High,Low,Close,Volume,OpenInt
5/19/2008,52.143,52.419,51.716,52.203,335527,0
5/20/2008,51.822,51.907,51.064,51.501,1855608,0
5/21/2008,51.394,51.775,50.022,50.262,4501882,0
5/22/2008,50.002,50.284,49.694,49.833,4634590,0
5/23/2008,49.71,49.787,49.351,49.595,406853,0
5/27/2008,49.609,50.453,49.609,50.276,484328,0
5/28/2008,50.637,50.646,50.055,50.361,261055,0
5/29/2008,50.345,50.921,50.177,50.904,949842,0
5/30/2008,51.217,51.217,50.392,50.668,398171,0
6/2/2008,51.002,51.002,49.451,49.819,442406,0
6/3/2008,50.102,50.254,49.534,50.146,535850,0
6/4/2008,49.947,50.804,49.826,50.406,423157,0
6/5/2008,50.744,51.577,50.583,51.561,293095,0
6/6/2008,51.286,51.286,49.39,49.406,777895,0
6/9/2008,49.618,49.995,48.328,48.426,538577,0
6/10/2008,48.256,48.815,47.606,48.448,494816,0
6/11/2008,48.709,48.953,47.653,47.715,352286,0
6/12/2008,48.135,48.655,47.493,48.204,438771,0
6/13/2008,48.464,49.006,47.829,49.006,394529,0
6/16/2008,48.755,49.681,48.578,49.657,335699,0
6/17/2008,49.909,49.909,48.141,48.248,303696,0
6/18/2008,48.157,48.157,47.157,47.538,299865,0
6/19/2008,47.469,48.639,47.214,48.639,1035344,0
6/20/2008,48.105,48.211,47.263,47.545,354690,0
6/23/2008,47.873,47.881,46.369,46.369,355231,0
6/24/2008,45.626,46.412,45.211,45.787,1260435,0
6/25/2008,45.916,47.263,45.916,46.537,1463800,0
6/26/2008,46.972,46.981,44.928,44.983,623385,0
6/27/2008,45.092,45.297,44.247,44.63,1612923,0
6/30/2008,44.554,45.297,44.164,44.691,1655528,0
7/1/2008,43.522,45.012,43.421,44.654,2616629,0
7/2/2008,44.723,44.877,43.882,44.102,3251513,0
7/3/2008,44.164,44.287,43.483,43.652,2688495,0
7/7/2008,43.882,44.111,42.503,42.673,2876086,0
7/8/2008,42.763,45.86,42.398,45.855,6190984,0
7/9/2008,46.948,46.948,42.321,42.726,3593586,0
7/10/2008,42.596,43.888,42.137,43.551,2924243,0
7/11/2008,42.464,44.333,42.313,43.338,5441916,0
7/14/2008,43.407,44.21,41.647,41.83,5039608,0
7/15/2008,41.609,42.802,40.691,41.426,9079563,0
7/16/2008,41.402,44.448,40.959,44.448,6233124,0
7/17/2008,44.448,45.157,43.3,44.983,10601162,0
7/18/2008,44.892,45.128,44.256,45.059,5867480,0
7/21/2008,45.035,45.397,44.67,45.397,4090974,0
7/22/2008,44.892,46.686,44.492,46.612,8471548,0
7/23/2008,46.131,48.346,46.131,47.929,7232398,0
7/24/2008,48.181,48.181,44.515,44.753,3418664,0
7/25/2008,45.219,46.054,44.637,45.486,5350197,0
7/28/2008,45.747,46.16,44.247,44.745,1416699,0
7/29/2008,44.684,46.902,44.579,46.825,2737974,0
7/30/2008,48.32,48.32,45.258,46.667,5252776,0
7/31/2008,46.398,46.681,45.412,46.085,3566078,0
8/1/2008,46.106,46.214,44.959,46.123,4125796,0
8/4/2008,45.908,46,45.174,45.448,4296142,0
8/5/2008,45.671,47.567,45.503,47.493,3425939,0
8/6/2008,47.208,47.475,46.574,47.263,2903123,0
8/7/2008,46.789,46.941,45.618,46.015,3638409,0
8/8/2008,46,48.088,45.787,47.356,3726475,0
8/11/2008,47.881,49.359,47.384,48.885,6783858,0
8/12/2008,49.146,49.146,47.186,47.791,5737534,0
8/13/2008,47.438,47.523,46.503,47.093,5258746,0
8/14/2008,46.832,47.936,46.626,47.85,6160466,0
8/15/2008,47.981,48.44,47.316,47.784,3889273,0
8/18/2008,47.85,47.936,46.369,47.124,4447918,0
8/19/2008,46.369,46.375,45.434,45.962,5481617,0
8/20/2008,46.015,46.23,45,46.029,5727191,0
8/21/2008,45.465,45.535,44.907,45.211,5036005,0
8/22/2008,45.334,46.749,45.334,46.749,3567994,0
8/25/2008,46.695,46.895,45.128,45.334,2339663,0
8/26/2008,44.661,45.869,44.661,45.869,2719447,0
8/27/2008,46.19,46.329,45.404,46.329,2126965,0
8/28/2008,46.398,47.515,46.23,47.508,1782422,0
8/29/2008,47.162,47.623,46.667,47.18,1761093,0
9/2/2008,47.429,48.287,46.597,47.484,3194790,0
9/3/2008,47.422,48.235,47.107,48.235,3515706,0
9/4/2008,47.706,47.981,46.757,46.881,3424706,0
9/5/2008,46.375,46.941,45.811,46.889,4947978,0
9/8/2008,48.572,48.991,47.623,48.914,4589234,0
9/9/2008,48.639,49.052,46.712,47.087,4042048,0
9/10/2008,47.331,47.606,46.176,47.171,4132296,0
9/11/2008,46.925,47.89,46.154,47.89,5522945,0
9/12/2008,47.247,48.157,46.825,47.737,3356167,0
9/15/2008,47.016,47.293,44.983,44.983,7956800,0
9/16/2008,44.111,47.202,44.065,47.202,7171863,0
9/17/2008,46.222,46.481,44.18,44.485,5482959,0
9/18/2008,44.378,48.262,42.711,48.262,8038351,0
9/19/2008,52.748,52.748,47.157,49.702,3099260,0
9/22/2008,47.429,49.267,45.366,45.527,2256216,0
9/23/2008,46.606,46.874,45.709,45.833,3261371,0
9/24/2008,45.931,46.909,44.407,44.928,4032769,0
9/25/2008,45.794,46.038,44.579,45.486,2928261,0
9/26/2008,44.402,46.895,44.231,46.895,2603392,0
9/29/2008,45.083,46.574,43.391,43.391,4281816,0
9/30/2008,45.634,46.658,43.935,46.512,3096784,0
10/1/2008,46.282,46.282,44.723,45.389,3773778,0
10/2/2008,44.898,45.035,42.321,42.457,2979774,0
10/3/2008,43.33,43.696,40.355,40.621,5358038,0
10/6/2008,40.101,40.317,37.409,39.406,5661851,0
10/7/2008,39.095,39.65,36.023,36.023,4167438,0
10/8/2008,34.663,37.165,33.907,35.526,3024343,0
10/9/2008,35.421,36.803,32.512,32.711,7390952,0
10/10/2008,31.29,36.202,29.323,35.84,3999898,0
10/13/2008,38.022,38.212,35.374,38.121,1985053,0
10/14/2008,39.376,39.376,33.202,35.526,4591766,0
10/15/2008,34.35,35.031,30.737,30.968,3643827,0
10/16/2008,31.848,33.085,29.837,32.765,2983262,0
10/17/2008,31.205,33.907,31.075,32.413,4165479,0
10/20/2008,33.187,33.187,31.137,32.652,2469793,0
10/21/2008,32.237,32.994,31.458,31.533,1843347,0
10/22/2008,30.6,31.137,28.296,29.308,3352648,0
10/23/2008,29.239,29.92,26.317,28.542,7236807,0
10/24/2008,25.545,28.49,25.545,26.922,3729424,0
10/27/2008,26.677,27.969,25.245,25.392,3056620,0
10/28/2008,26.011,29.498,24.885,29.36,6362598,0
10/29/2008,29.116,30.394,28.023,28.321,4950609,0
10/30/2008,29.798,29.996,28.673,29.837,4944876,0
10/31/2008,30.079,31.9,29.446,31.755,14573642,0
11/3/2008,31.671,31.916,30.608,30.716,8733355,0
11/4/2008,31.58,32.543,30.915,32.435,8115744,0
11/5/2008,31.97,31.977,29.033,29.247,12771882,0
11/6/2008,28.965,29.391,27.762,27.876,16706623,0
11/7/2008,28.206,29.75,27.34,29.644,11289386,0
11/10/2008,29.929,29.944,26.661,26.99,4983664,0
11/11/2008,26.623,27.21,25.545,26.615,4771013,0
11/12/2008,26.003,26.011,24.509,24.709,7226723,0
11/13/2008,25.545,27.532,23.578,27.424,12380054,0
11/14/2008,27.051,27.066,24.197,24.336,3406242,0
11/17/2008,24.045,24.509,23.394,23.455,3461208,0
11/18/2008,23.553,23.938,21.847,23.234,4243285,0
11/19/2008,22.998,23.234,19.89,20.111,4011384,0
11/20/2008,19.752,21.112,18.245,18.522,5432750,0
11/21/2008,18.973,20.053,17.228,19.884,8990107,0
11/24/2008,20.558,23.531,19.692,23.264,6928028,0
11/25/2008,23.747,24.077,21.904,23.631,3855091,0
11/26/2008,23.631,24.947,22.889,24.908,3069214,0
11/28/2008,24.771,25.093,24.005,24.542,1095346,0
12/1/2008,23.93,23.983,19.469,19.752,3178593,0
12/2/2008,20.281,22.475,20.273,22.376,4417711,0
12/3/2008,21.398,23.631,21.045,23.631,5494097,0
12/4/2008,23.204,24.673,22.461,22.981,3217411,0
12/5/2008,22.627,25.436,22.291,25.415,2845437,0
12/8/2008,25.995,27.825,25.635,27.787,2419961,0
12/9/2008,27.411,27.746,25.168,25.375,3440480,0
12/10/2008,25.852,27.617,25.72,27.556,2164645,0
12/11/2008,26.928,27.066,23.211,23.624,2557623,0
12/12/2008,22.965,26.094,22.813,26.094,2506424,0
12/15/2008,26.186,26.439,24.09,25.184,1863096,0
12/16/2008,25.236,28.291,25.125,28.267,3069698,0
12/17/2008,27.539,30.002,26.998,28.787,5504633,0
12/18/2008,29.141,29.239,26.301,26.393,2480315,0
12/19/2008,26.454,28.244,26.454,28.244,2972988,0
12/22/2008,28.015,28.023,25.937,27.183,4821735,0
12/23/2008,27.456,27.732,26.752,27.027,2065885,0
12/24/2008,26.477,26.623,26.034,26.623,804731,0
12/26/2008,26.784,27.005,26.156,27.005,795339,0
12/29/2008,26.778,26.778,24.97,25.45,2025749,0
12/30/2008,25.764,26.668,25.612,26.47,2307521,0
12/31/2008,26.631,28.144,26.477,27.884,2554401,0
1/2/2009,28.023,28.031,26.983,26.998,2851964,0
1/5/2009,26.959,27.249,26.283,26.5,9566636,0
1/6/2009,26.965,28.115,26.127,27.825,2501918,0
1/7/2009,27.654,27.708,26.677,26.891,1881721,0
1/8/2009,26.532,26.875,26.147,26.689,2696916,0
1/9/2009,26.714,26.737,25.209,25.319,1950036,0
1/12/2009,25.153,25.209,23.439,23.838,2302224,0
1/13/2009,23.571,24.692,23.41,24.558,2343316,0
1/14/2009,24.084,24.084,23.025,23.27,3046081,0
1/15/2009,23.27,24.596,22.1,24.037,5133807,0
1/16/2009,24.482,25.024,23.424,24.947,7242045,0
1/20/2009,24.603,24.617,22.031,22.154,5122327,0
1/21/2009,22.675,24.487,21.925,24.474,4537800,0
1/22/2009,23.578,24.372,22.79,23.134,5103582,0
1/23/2009,22.376,23.93,22.225,23.838,4657997,0
1/26/2009,23.885,24.517,23.234,23.701,4909254,0
1/27/2009,23.868,24.451,23.585,24.037,3255340,0
1/28/2009,25.308,26.217,24.509,26.119,3545998,0
1/29/2009,25.567,25.627,23.885,23.983,3548510,0
1/30/2009,24.267,24.624,22.697,22.998,3119559,0
2/2/2009,22.469,23.585,22.384,23.553,3571884,0
2/3/2009,23.678,23.707,22.903,23.318,2822460,0
2/4/2009,23.326,23.945,22.751,22.751,10220036,0
2/5/2009,22.27,23.08,21.596,22.27,6235814,0
2/6/2009,22.392,24.053,22.344,23.814,5883143,0
2/9/2009,24.084,24.205,23.342,24.168,3433823,0
2/10/2009,24.128,24.128,21.819,22.017,6125920,0
2/11/2009,22.246,22.437,21.353,22.437,4567532,0
2/12/2009,21.642,22.17,20.459,22.054,4578396,0
2/13/2009,21.847,21.863,20.656,20.701,4491410,0
2/17/2009,19.89,20.081,19.041,19.232,3347227,0
2/18/2009,19.5,19.645,18.668,19.508,7238161,0
2/19/2009,19.89,20.053,18.499,18.668,3851906,0
2/20/2009,18.16,19.935,17.734,19.844,8217874,0
2/23/2009,20.03,20.174,18.245,18.353,6612282,0
2/24/2009,18.988,19.989,18.299,19.907,6781179,0
2/25/2009,19.684,20.371,18.75,19.523,6391745,0
2/26/2009,19.922,20.127,18.428,18.522,4994621,0
2/27/2009,18.016,18.903,17.978,18.276,4806520,0
3/2/2009,18.025,18.025,16.737,17.137,6239923,0
3/3/2009,17.35,17.587,16.332,17.205,7076777,0
3/4/2009,17.543,17.909,16.97,17.48,3998102,0
3/5/2009,17.038,17.257,16.164,16.402,4432194,0
3/6/2009,16.511,16.686,15.262,16.178,6449226,0
3/9/2009,15.69,16.556,15.69,16.538,5074353,0
3/10/2009,16.989,18.91,16.831,18.841,4001003,0
3/11/2009,18.917,19.195,18.276,18.537,3523861,0
3/12/2009,18.56,20.183,18.276,20.053,3648663,0
3/13/2009,20.493,20.61,18.965,19.624,3604947,0
3/16/2009,19.767,19.95,18.039,18.078,2984228,0
3/17/2009,18.115,19.5,17.703,19.446,3135009,0
3/18/2009,19.132,20.524,18.643,20.509,5088450,0
3/19/2009,20.832,20.863,19.17,19.255,2846716,0
3/20/2009,19.186,19.186,17.596,17.596,3637882,0
3/23/2009,18.428,20.584,18.245,20.443,3613066,0
3/24/2009,19.89,20.55,18.668,18.864,5873378,0
3/25/2009,18.926,19.269,17.257,18.805,3059694,0
3/26/2009,19.002,19.407,18.061,19.224,3935080,0
3/27/2009,18.79,18.988,18.328,18.369,3302496,0
3/30/2009,17.802,17.878,17.213,17.365,1846866,0
3/31/2009,17.679,18.841,17.463,18.574,3217845,0
